Province,Zone,VegType,Vol/ha,OriginalVol/ha,Comments
3,301,Es,0,0,NULL
3,301,Fri,34,34,NULL
3,301,G,0,0,NULL
3,301,Ga,0,0,NULL
3,301,Gi,0,0,NULL
3,301,H,19,19,NULL
3,301,L,36,36,NULL
3,301,M,34,34,NULL
3,301,Mo,0,0,NULL
3,301,O,0,0,NULL
3,301,P,38,38,NULL
3,301,Qa,0,0,NULL
3,301,Qf,0,0,NULL
3,301,Sa,0,0,NULL
3,301,Sc,0,0,NULL
3,301,U,0,0,NULL
3,301,W,34,34,NULL
3,301,Z,0,0,NULL
3,302,E,0,0,NULL
3,302,Es,0,0,NULL
3,302,Fsw,34,34,NULL
3,302,G,0,0,NULL
3,302,Ga,0,0,NULL
3,302,Gi,0,0,NULL
3,302,H,38,38,NULL
3,302,L,36,36,NULL
3,302,M,34,34,NULL
3,302,Mo,0,0,NULL
3,302,O,0,0,NULL
3,302,P,56,56,NULL
3,302,Qa,0,0,NULL
3,302,Qf,0,0,NULL
3,302,Sa,0,0,NULL
3,302,Sc,0,0,NULL
3,302,U,0,0,NULL
3,302,W,34,34,NULL
3,302,Z,0,0,NULL
3,303,E,0,0,NULL
3,303,Fsw,17,17,NULL
3,303,G,0,0,NULL
3,303,Ga,0,0,NULL
3,303,H,30,30,NULL
3,303,L,36,36,NULL
3,303,M,24,24,NULL
3,303,Mo,0,0,NULL
3,303,O,0,0,NULL
3,303,P,30,30,NULL
3,303,Sa,0,0,NULL
3,303,W,34,34,NULL
3,303,Z,0,0,NULL
4,401,E,0,0,NULL
4,401,Fri,34,34,NULL
4,401,G,0,0,NULL
4,401,Ga,0,0,NULL
4,401,Gi,0,0,NULL
4,401,H,30,30,NULL
4,401,L,36,36,NULL
4,401,M,34,34,NULL
4,401,Mo,0,0,NULL
4,401,O,0,0,NULL
4,401,P,35,35,NULL
4,401,Sc,0,0,NULL
4,401,W,34,34,NULL
4,402,B,0,0,NULL
4,402,E,0,0,NULL
4,402,Es,0,0,NULL
4,402,Fsw,34,34,NULL
4,402,G,0,0,NULL
4,402,H,30,30,NULL
4,402,L,36,36,NULL
4,402,M,34,34,NULL
4,402,O,0,0,NULL
4,402,P,24,24,NULL
4,402,Qa,0,0,NULL
4,402,Sc,0,0,NULL
4,402,U,0,0,NULL
4,402,W,34,34,NULL
4,402,Z,0,0,NULL
4,403,B,0,0,NULL
4,403,E,0,0,NULL
4,403,Fsw,34,34,NULL
4,403,G,0,0,NULL
4,403,H,34,34,NULL
4,403,M,34,34,NULL
4,403,O,0,0,NULL
4,403,P,31,31,NULL
4,403,U,0,0,NULL
4,403,W,34,34,NULL
4,404,B,0,0,NULL
4,404,E,0,0,NULL
4,404,Es,0,0,NULL
4,404,G,0,0,NULL
4,404,H,19,19,NULL
4,404,M,34,34,NULL
4,404,O,0,0,NULL
4,404,P,30,30,NULL
4,404,Sc,0,0,NULL
4,404,U,0,0,NULL
4,404,W,34,34,NULL
4,404,Z,0,0,NULL
4,405,B,0,0,NULL
4,405,E,0,0,NULL
4,405,Es,0,0,NULL
4,405,G,0,0,NULL
4,405,H,37,37,NULL
4,405,L,36,36,NULL
4,405,M,34,34,NULL
4,405,O,0,0,NULL
4,405,P,31,31,NULL
4,405,Qa,0,0,NULL
4,405,Qf,0,0,NULL
4,405,Sa,0,0,NULL
4,405,U,0,0,NULL
4,405,W,34,34,NULL
4,405,Z,0,0,NULL
5,501,B,0,0,NULL
5,501,E,0,0,NULL
5,501,Es,0,0,NULL
5,501,Fsw,34,34,NULL
5,501,G,0,0,NULL
5,501,Ga,0,0,NULL
5,501,Gi,0,0,NULL
5,501,H,25,25,NULL
5,501,L,36,36,NULL
5,501,M,34,34,NULL
5,501,Mo,0,0,NULL
5,501,O,0,0,NULL
5,501,P,37,37,NULL
5,501,Qa,0,0,NULL
5,501,U,0,0,NULL
5,501,W,34,34,NULL
5,502,E,0,0,NULL
5,502,Es,0,0,NULL
5,502,Fri,34,34,NULL
5,502,Fsw,34,34,NULL
5,502,G,0,0,NULL
